station_id,lat,lon,page,details
ISRO0390,14.6,77.46,6,"14.60 77.46  2008-09-24 2017-12-06 HOURLY 31  OoT,Ragulapadu,Vajrakarur  mandal,ATP ANDHRA  PRADESH 15F185 ISRO0389 14.9"
ISRO0391,14.99,77.36,6,"14.99 77.36  2008-09-24 2017-11-15 HOURLY 32  OoT,Yerraguntla,Garladinne  Mandal,ATP ANDHRA  PRADESH 15F186 ISRO0390 14."
ISRO0392,14.84,77.53,6,"14.84 77.53  2008-09-24 2020-01-31 HOURLY 33  OoT,Jallipalli,Kudair  mandal,ATP ANDHRA  PRADESH 15F187 ISRO0391 14.81 77"
ISRO0393,14.81,77.35,6,"14.81 77.35  2008-09-24 2020-01-29 HOURLY 34  OoT,BK  Samudram  Mandal,Bodiganidoddi,ATP ANDHRA  PRADESH 15F188 ISRO0392"
ISRO0394,14.93,77.86,7,"36  OoT,Peddayekkalur,  Peddapappur  Mandal,ATP ANDHRA  PRADESH 15F18A ISRO0394 14.93 77.86  2008-09-26 2020-01-30 HOURL"
ISRO0395,14.93,77.86,7,"36  OoT,Peddayekkalur,  Peddapappur  Mandal,ATP ANDHRA  PRADESH 15F18A ISRO0394 14.93 77.86  2008-09-26 2020-01-30 HOURL"
ISRO0396,14.93,77.86,7,"14.93 77.86  2008-09-26 2020-01-30 HOURLY 37  OoT,B.Pappur,Narpala  Mandal,ATP ANDHRA  PRADESH 15F18B ISRO0395 14.65 77."
ISRO0397,14.65,77.79,7,"14.65 77.79  2008-09-24 2020-01-29 HOURLY 38  OoT,Gadekal,Vidapanakal  Mandal,ATP ANDHRA  PRADESH 15F18C ISRO0396 15.12 "
ISRO0398,15.12,77.24,7,"15.12 77.24  2008-09-24 2018-11-12 HOURLY 39  OoT,Rapthadu  Mandal,  ATP ANDHRA  PRADESH 15F18D ISRO0397 14.62 77.61  20"
ISRO0399,14.62,77.61,7,"14.62 77.61  2008-09-24 2018-11-06 HOURLY 40  OoT,Yellanur  Mandal,ATP ANDHRA  PRADESH 15F18E ISRO0398 14.70 78.07  2008"
ISRO0400,14.7,78.07,7,"14.70 78.07  2008-09-24 2017-12-01 HOURLY 41  OoT,Dodagatta,  D.Hirehal  Mandal,ATP ANDHRA  PRADESH 15F18F ISRO0399 15.0"
ISRO0401,14.36,77.44,8,"PRADESH 09-24 11-28 43  OoT,Nasanakota,  Ramagiri  Mandal,ATP ANDHRA  PRADESH 15F191 ISRO0401 14.36 77.44  2008-09-24 20"
ISRO0402,14.36,77.44,8,"PRADESH 09-24 11-28 43  OoT,Nasanakota,  Ramagiri  Mandal,ATP ANDHRA  PRADESH 15F191 ISRO0401 14.36 77.44  2008-09-24 20"
ISRO0403,14.36,77.44,8,"14.36 77.44  2008-09-24 2017-11-26 HOURLY 44  OoT,Kanumukkala,  CK  Palli  Mandal,ATP ANDHRA  PRADESH 15F192 ISRO0402 14"
ISRO0404,14.31,77.75,8,"14.31 77.75  2008-09-24 2017-11-18 HOURLY 45  OoT,Avuladatla,  Rayadurg  Mandal,ATP ANDHRA  PRADESH 15F193 ISRO0403 14.7"
ISRO0405,14.7,76.99,8,"14.70 76.99  2008-09-24 2017-11-26 HOURLY 46  OoT,Cherlopalli,Bathalapalli  Mandal,ATP ANDHRA  PRADESH 15F194 ISRO0404 1"
ISRO0406,14.46,77.88,8,"14.46 77.88  2008-09-24 2018-11-07 HOURLY 47  OoT,Nuthimadugu,Kambadur  Mandal,ATP ANDHRA  PRADESH 15F195 ISRO0405 14.49"
ISRO0407,14.38,76.92,9,"49  OoT,Mulakaledu,Setturu  Mandal,ATP ANDHRA  PRADESH 15F197 ISRO0407 14.38 76.92  2008-09-24 2017-11-29 HOURLY 50  OoT"
ISRO0408,14.38,76.92,9,"49  OoT,Mulakaledu,Setturu  Mandal,ATP ANDHRA  PRADESH 15F197 ISRO0407 14.38 76.92  2008-09-24 2017-11-29 HOURLY 50  OoT"
ISRO0409,14.38,76.92,9,"14.38 76.92  2008-09-24 2017-11-29 HOURLY 50  OoT,  Kalyanadurg  Mandal,  ATP ANDHRA  PRADESH 15F198 ISRO0408 14.56 77.1"
ISRO0410,14.56,77.11,9,"14.56 77.11  2008-09-24 2017-11-28 HOURLY 51  OoT,Marala,  Bukkapatnam  Mandal,ATP ANDHRA  PRADESH 15F199 ISRO0409 14.31"
ISRO0411,14.31,77.93,9,"14.31 77.93  2008-09-24 2017-11-19 HOURLY 52  OoT,Kirikera,Gudibanda  Mandal,ATP ANDHRA  PRADESH 15F19A ISRO0410 14.02 7"
ISRO0412,14.02,77.1,9,"14.02 77.10  2008-09-24 2013-12-26 HOURLY 53  OoT,Pedamanthur,  Roddam  Mandal,ATP ANDHRA  PRADESH 15F19B ISRO0411 14.00"
ISRO0413,14.0,77.43,9,"14.00 77.43  2008-09-24 2017-11-24 HOURLY 54  OoT,Pothulakunta,  Kothacheruvu  Mandal,ATP ANDHRA  PRADESH 15F19C ISRO041"
ISRO0414,14.0,79.28,10,"56  OoT,Ubicherla,Nallacheruvu  Mandal,  ATP ANDHRA  PRADESH 15F19E ISRO0414 14.00 79.28  2008-09-24 2012-02-26 HOURLY 5"
ISRO0415,14.0,79.28,10,"56  OoT,Ubicherla,Nallacheruvu  Mandal,  ATP ANDHRA  PRADESH 15F19E ISRO0414 14.00 79.28  2008-09-24 2012-02-26 HOURLY 5"
ISRO0416,14.0,79.28,10,"14.00 79.28  2008-09-24 2012-02-26 HOURLY 57  OoT,  Edula  ballapuram,  Somandepalli  Mandal,ATP ANDHRA  PRADESH 15F19F "
ISRO0417,14.02,77.61,10,"14.02 77.61  2008-09-24 2018-04-25 HOURLY 58  OoT,Koduru,Chilamathur  Mandal,ATP ANDHRA  PRADESH 15F1A0 ISRO0416 13.87 7"
ISRO0418,13.87,77.72,10,"13.87 77.72  2008-09-24 2017-11-23 HOURLY 59  OoT,Godduvelagala,Gandlapenta  Mandal,ATP ANDHRA  PRADESH 15F1A1 ISRO0417 "
ISRO0419,14.09,78.27,10,"14.09 78.27  2008-09-24 2019-08-16 HOURLY 60  OoT,Parigi  Mandal,ATP ANDHRA  PRADESH 15F1A2 ISRO0418 13.89 77.46  2008-0"
ISRO0420,14.95,77.06,11,"62  OoT,Govindawada,Bommnahal  Mandal,  ATP ANDHRA  PRADESH 15F1A4 ISRO0420 14.95 77.06  2008-09-24 2017-11-28 HOURLY 63"
ISRO0561,14.95,77.06,11,"62  OoT,Govindawada,Bommnahal  Mandal,  ATP ANDHRA  PRADESH 15F1A4 ISRO0420 14.95 77.06  2008-09-24 2017-11-28 HOURLY 63"
ISRO0566,14.95,77.06,11,14.95 77.06  2008-09-24 2017-11-28 HOURLY 63  NARL  guest  house  Gadanki  /  Tirupathi  (NON-ISRO) ANDHRA  PRADESH 15F2
ISRO0567,13.62,79.39,11,13.62 79.39  2014-06-05 2016-03-08 HOURLY 64  DMS  SV  Enginerering  collage  Machilipatnam  (ISRO ANDHRA  PRADESH 15F23
ISRO0569,16.21,81.17,11,16.21 81.17  2010-08-15 2017-12-01 HOURLY 65  Padmavathi  Mahila  Kalasala  Machilipatnam  (ISRO ANDHRA  PRADESH 15F237 
ISRO0571,16.19,81.14,11,"16.19 81.14  2010-08-15 2018-11-25 HOURLY 66  Yogi  Vemana  University,  Cuddapa,  A.P  (ISRO  569) ANDHRA  PRADESH 15F2"
ISRO0573,14.47,78.71,11,"14.47 78.71  2010-09-19 2018-11-03 HOURLY 67  SHAR,  SRIHAROKOTA(stn  code  of  ISRO571) ANDHRA  PRADESH 15F23B ISRO0571"
ISRO0601,17.52,83.03,12,"69  BARC-DOSSUR-VIZAG ANDHRA  PRADESH 15F259 ISRO0601 17.52 83.03  2009-08-05 2013-09-27 HOURLY 70  BARC  ,PULIVENDULA,U"
ISRO0602,17.52,83.03,12,"69  BARC-DOSSUR-VIZAG ANDHRA  PRADESH 15F259 ISRO0601 17.52 83.03  2009-08-05 2013-09-27 HOURLY 70  BARC  ,PULIVENDULA,U"
ISRO0789,17.52,83.03,12,"17.52 83.03  2009-08-05 2013-09-27 HOURLY 70  BARC  ,PULIVENDULA,UCIL  CHINTAPALLY ANDHRA  PRADESH 15F25A ISRO0602 14.33"
ISRO0790,14.33,78.27,12,14.33 78.27  2009-08-05 2015-12-05 HOURLY 71  TASILDAR  OFFICE  BEJJUR ANDHRA  PRADESH 15F315 ISRO0789 19.34 79.86  2009
ISRO0791,19.34,79.86,12,19.34 79.86  2009-08-05 2018-12-22 HOURLY 72  TASILDAR  OFFICE  bela  mandal ANDHRA  PRADESH 15F316 ISRO0790 19.72 78.72
ISRO0792,19.72,78.72,12,19.72 78.72  2010-03-05 2018-12-19 HOURLY 73  TASILDAR  OFFICE  boath  mandal ANDHRA  PRADESH 15F317 ISRO0791 19.34 78.3
ISRO0793,19.34,78.32,12,19.34 78.32  2010-03-22 2018-12-20 HOURLY 74  MROOFFICE  KUNTLA  MANDAL ANDHRA  PRADESH 15F318 ISRO0792 19.17 78.10  200
ISRO0794,19.26,77.94,13,PRADESH 03-05 11-04 76  KUBIR  ANDHRA  PRADESH 15F31A ISRO0794 19.26 77.94  2009-08-05 2018-12-21 HOURLY 77  M.R.O  offi
ISRO0795,19.26,77.94,13,PRADESH 03-05 11-04 76  KUBIR  ANDHRA  PRADESH 15F31A ISRO0794 19.26 77.94  2009-08-05 2018-12-21 HOURLY 77  M.R.O  offi
ISRO0796,19.26,77.94,13,19.26 77.94  2009-08-05 2018-12-21 HOURLY 77  M.R.O  office  chennur  mandal ANDHRA  PRADESH 15F31B ISRO0795 18.86 79.79
