station_id,lat,lon,n_raw_rows,status,reason,n_daily_valid,rain_max_daily_mm,monsoon_coverage_pct
ISRO0021_15F015(Dibrugarh univ. Assam),27.4666666,94.9166666,1133,FAIL,insufficient monsoon-season coverage -- 7.0% < 20.0% required,0,,
ISRO0062_15F03E(LAKHIMPUR),27.2041666,94.1069444,4312,PASS,"ok (type=daily_cumulative, spikes_clipped=0)",170,49.0,22.131147540983605
ISRO0064_15F040(Gawahati(KAHIKUCHI)),26.178888,91.71639,8479,FAIL,stuck -- only 1 unique daily increments in entire record,0,,
ISRO0065_15F041(BONGAIGAON),26.523055,90.491111,3371,PASS,"ok (type=daily_cumulative, spikes_clipped=0)",153,38.0,80.0
ISRO0066_15F042(GOSSAIGAON),26.3908333,89.9405555,8446,PASS,"ok (type=daily_cumulative, spikes_clipped=23)",189,400.0,26.229508196721312
ISRO0067_15F043(NALBARI),26.4358333,91.335,4324,PASS,"ok (type=daily_cumulative, spikes_clipped=0)",196,120.0,27.049180327868854
ISRO0068_15F044(KARIMGUNJ),24.8547222,92.3044444,5639,FAIL,stuck -- only 2 unique daily increments in entire record,0,,
ISRO0069_15F045(ARUNACHAL),24.8541666,92.7388888,6654,PASS,"ok (type=daily_cumulative, spikes_clipped=8)",171,400.0,24.18032786885246
ISRO0073_15F049(BOKO),25.9919444,91.2513888,3988,FAIL,"dead -- 92% zeros, max monsoon rainfall 6.0mm < 10.0mm threshold",0,,
ISRO0074_15F04A(GOLAPARA),26.1869444,90.5680555,3764,FAIL,stuck -- only 1 unique daily increments in entire record,0,,
ISRO0075_15F04B(MANGALDOI),26.4444444,92.0063888,28,FAIL,no_data -- zero valid rain increments after processing,0,,
ISRO0076_15F04C(Dhubri),26.023333,89.96917,8776,PASS,"ok (type=daily_cumulative, spikes_clipped=0)",201,61.0,27.86885245901639
ISRO0077_15F04D(Diphu),25.833055,93.5,2301,FAIL,stuck -- only 2 unique daily increments in entire record,0,,
ISRO0080_15F050(Lahdoigarh.(jorhat)),26.784,94.344,2993,FAIL,"mislabeled -- |corr(rain, sunshine)| = 0.62 > 0.5 (cross-talk pattern)",0,,
ISRO0092_15F05C(SILGHAT),26.6333333,93.1333333,2344,FAIL,stuck -- only 1 unique daily increments in entire record,0,,
ISRO0093_15F05D(MARGHERIETA),27.2669444,95.6516666,1,FAIL,stuck -- only 1 unique daily increments in entire record,0,,
ISRO0094_15F05E(KHAJIRANGA),26.5719444,93.3869444,2,FAIL,no_data -- zero valid rain increments after processing,0,,
ISRO0095_15F05F(JORHAT(neist)),26.738333,94.159,2327,FAIL,stuck -- only 1 unique daily increments in entire record,0,,
ISRO0096_15F060(GOLAGHAT),26.4888888,93.4369444,2624,FAIL,insufficient monsoon-season coverage -- 16.4% < 20.0% required,0,,
