epoch,lr,train_loss,val_loss,val_pod,val_far,val_csi,val_pr_auc,val_roc_auc,optimal_threshold
1,0.002,0.003681369999115729,0.0011232649709106688,0.4859,0.2593,0.4153,0.5057,0.8236,0.29000000000000004
2,0.001994549285891432,0.0016451717588070256,0.000969113028399952,0.5125,0.2149,0.4495,0.557,0.878,0.32
3,0.0019782568627301367,0.0015231677674722834,0.0009496807332882298,0.5024,0.151,0.4612,0.5704,0.879,0.35
4,0.001951301233713678,0.001466688318814884,0.0009144613367429185,0.5227,0.1349,0.4833,0.5871,0.8828,0.37
5,0.001913977730354388,0.0014376068059973749,0.0009379997831348069,0.5118,0.0931,0.4862,0.5954,0.8865,0.37
6,0.001866695276765517,0.0013914593934402108,0.0008749977352028012,0.5172,0.1008,0.4889,0.6017,0.8943,0.37
7,0.001809971909403073,0.0013714629318021829,0.0009387606068557635,0.5204,0.1454,0.478,0.5971,0.8954,0.43000000000000005
8,0.0017444291013500076,0.00135960582628973,0.0008617158317670807,0.5149,0.1787,0.463,0.5849,0.8957,0.36
9,0.0016707849533270642,0.0013480329285526348,0.0008640135173835486,0.54,0.1749,0.4845,0.6011,0.901,0.32
10,0.001589846326031011,0.0013253612344238394,0.0008540267290295831,0.5282,0.1235,0.4916,0.6106,0.898,0.36
11,0.0015025000000000001,0.0013049675313886683,0.0008790394672942792,0.5235,0.1358,0.4837,0.6049,0.9038,0.39
12,0.0014097029598604215,0.0012913764867829793,0.0008312790384927433,0.5282,0.048,0.5145,0.6171,0.9017,0.35
13,0.0013124719094030728,0.0012889372700026402,0.0008213585054131463,0.5455,0.0984,0.5148,0.6193,0.9045,0.35
14,0.0012118721323636705,0.0012774989773336033,0.0008540435832493633,0.5102,0.0647,0.4928,0.6082,0.9061,0.38
15,0.0011090058209513153,0.001266919703177528,0.0008083768814165799,0.5478,0.1263,0.5076,0.6157,0.9101,0.33999999999999997
16,0.0010050000000000003,0.0012597875949243653,0.0008717335161823494,0.5306,0.1208,0.4945,0.6074,0.906,0.35
17,0.000900994179048685,0.0012555756403043697,0.0008208392788754847,0.5525,0.1231,0.5127,0.6186,0.9119,0.37
18,0.0007981278676363294,0.001248296732143313,0.0008476160074323442,0.5439,0.082,0.5187,0.6227,0.9136,0.38
19,0.0006975280905969274,0.001251997411868319,0.0008293023854961507,0.5313,0.1762,0.4771,0.5986,0.9126,0.33999999999999997
20,0.0006002970401395789,0.0012297364430607213,0.0008417179632562944,0.5517,0.133,0.5087,0.6185,0.9161,0.38
21,0.0005075000000000002,0.0012232226633769891,0.0008125149770637921,0.5596,0.152,0.5085,0.6207,0.9145,0.37
22,0.0004201536739689894,0.001216424456579751,0.0008008302339225361,0.5353,0.0566,0.5186,0.6239,0.915,0.38
23,0.00033921504667293643,0.0012120757438114158,0.0008065306526366247,0.5643,0.1336,0.5191,0.6253,0.9185,0.36
24,0.0002655708986499929,0.00120808459364733,0.0008059036648996403,0.5337,0.0697,0.5132,0.6232,0.9186,0.38
25,0.0002000280905969274,0.0012016667837206946,0.0008101517728084187,0.5525,0.1199,0.5138,0.6238,0.9187,0.37
26,0.0001433047232344835,0.001210203684592248,0.0007982683608718762,0.5509,0.1364,0.5068,0.6197,0.9187,0.35
27,9.602226964561203e-05,0.0011992554759223777,0.0007943809659137195,0.565,0.1467,0.515,0.6237,0.9203,0.35
28,5.869876628632223e-05,0.0011916960855413948,0.0008068579320851552,0.5509,0.119,0.5128,0.6232,0.9199,0.36
29,3.174313726986334e-05,0.0011889762642115303,0.0007986657658774289,0.5376,0.0986,0.5078,0.6219,0.9208,0.38
30,1.5450714108567966e-05,0.001190968380278281,0.0008009606078348375,0.5572,0.1297,0.5145,0.6239,0.9205,0.36
